x1,x2,target
-2.26,-4.07,98.21
13.31,-9.89,87.46
-2.87,-9.5,75.67
6.8,-13.24,-48.07
-3.2,2.16,97.45
-12.73,-13.14,125.26
3.14,-2.42,-26.910000000000004
5.03,-0.09,63.76
12.93,6.67,130.37
-1.1,1.0,22.220000000000002
-6.17,3.21,-46.31
5.63,5.14,54.43
2.41,-0.17,174.91
2.81,3.63,-22.22
-0.73,-9.8,32.5
11.6,-7.75,-29.43
3.69,18.98,36.57
19.05,-0.12,49.61
11.11,-7.11,149.93
6.59,13.8,-0.11999999999999922
-16.27,-1.57,8.009999999999998
6.02,-6.46,-32.28
4.2,-14.49,-56.19
8.11,7.79,-73.1
10.44,-10.86,-39.4
-4.01,-5.39,40.15
8.24,6.44,51.470000000000006
-5.62,1.84,151.26000000000002
19.55,-0.86,-36.14
-13.32,-2.14,-1.2200000000000006
-17.61,11.46,18.52
-16.51,22.3,104.47
-8.91,-5.49,40.74
-11.19,5.69,129.06
19.56,19.29,-13.4
-3.26,10.79,137.11
-13.43,-6.87,131.96
11.14,-4.31,13.55
-5.87,-5.98,0.08999999999999969
-12.37,-9.13,67.72999999999999
8.76,-6.24,-28.32
6.23,2.62,205.76999999999998
-4.35,-5.87,59.75
14.08,8.76,108.08000000000001
1.29,1.23,-51.43
16.17,-3.97,-110.2
5.03,8.86,108.81
15.59,3.19,78.86999999999999
1.09,2.65,-9.29
-12.2,10.4,27.26
24.49,5.73,-23.159999999999997
-5.46,-1.09,72.60000000000001
-1.99,9.38,135.28
-7.0,3.09,-63.5
-2.03,29.17,119.5
2.43,10.99,-11.37
2.02,11.53,17.04
6.61,12.91,43.47
17.92,0.8,-76.04
-1.2,13.13,291.84999999999997
-12.33,0.23,256.56
-11.82,-8.31,113.69000000000001
-6.66,-5.64,103.5
-16.74,5.28,-11.470000000000002
8.25,-15.61,216.32999999999998
-4.98,2.08,58.53
-3.11,-7.28,35.96
-0.02,7.18,153.51999999999998
-13.97,-7.46,77.37
-8.61,18.72,15.199999999999998
6.75,7.68,33.42
6.19,-12.69,1.0300000000000011
-4.43,17.59,77.19
18.11,-2.27,73.98
-13.06,-7.27,98.41000000000001
-3.45,-10.24,147.31
-2.31,5.68,57.660000000000004
-27.93,15.05,169.63
19.38,-5.78,161.37
3.66,-9.98,-61.72
-10.45,-11.4,106.06
20.51,14.96,-41.34
5.86,16.71,-59.71999999999999
4.3,-3.48,168.99
-6.07,5.38,152.29
1.06,-0.03,90.78
-15.26,-0.61,26.5
7.95,9.64,171.97
-3.74,4.41,-51.22
1.34,3.29,57.34
12.02,-2.93,73.86
2.85,8.16,158.28
2.62,-2.82,-77.55
2.76,0.5,-197.39
-7.33,2.19,68.75
8.36,-12.01,55.02
15.43,-2.99,45.47
7.59,-3.13,-30.9
8.85,1.01,38.629999999999995
-8.77,-11.12,-75.55999999999999
-8.68,-11.87,80.46000000000001
-14.41,16.23,152.05
12.32,11.56,-9.32
-2.54,8.89,-98.88999999999999
14.0,18.25,43.87
-7.82,4.2,46.14
-4.38,-0.91,47.019999999999996
0.95,4.82,158.16
9.21,-18.79,33.09
0.61,-10.98,205.14
2.11,7.59,85.94
0.17,0.33,-36.82
1.77,-12.78,126.14
-11.16,6.59,60.52
0.81,9.99,20.08
-1.87,6.68,80.89999999999999
-0.57,-0.3,59.45
4.92,-8.36,-87.97
-6.81,1.08,-10.07
-0.85,4.27,147.28
-2.97,-3.59,63.449999999999996
4.17,6.03,102.98
7.85,3.14,126.90000000000002
-9.55,3.33,206.29
5.86,-20.33,-27.319999999999997
20.66,10.81,-16.119999999999997
-14.71,17.24,7.989999999999998
-8.3,-4.02,6.240000000000001
-8.81,-14.77,-28.97
-2.79,6.39,57.98
16.23,-4.66,20.450000000000003
0.13,-9.67,86.7
-6.95,12.18,-26.12
6.22,-13.83,-22.36
-6.0,7.17,91.93
11.23,-12.48,82.18
3.05,14.62,-123.76000000000002
13.89,5.17,-6.890000000000001
-6.61,-2.57,33.75
30.31,1.49,-142.11
8.25,5.82,83.47
6.55,8.3,148.08
-0.51,8.28,-96.66
-7.26,5.47,-62.459999999999994
-8.68,-4.77,130.08
-1.36,6.64,148.83
-7.97,-13.11,-56.96
2.83,10.04,-21.800000000000004
-8.26,8.73,119.74000000000001
6.21,13.94,38.29
9.56,-5.89,-7.16
-7.06,1.86,186.45
11.93,8.58,70.47
-2.38,3.18,-90.0
11.55,-4.27,54.449999999999996
4.38,3.07,-63.730000000000004
11.22,0.68,98.82
-9.97,9.96,148.49
-1.07,-6.28,79.87
14.51,3.39,113.11
-6.18,2.93,216.25
-20.37,7.57,136.07
-19.43,-0.73,38.94
-25.06,1.27,-11.130000000000003
-21.14,-0.71,88.38999999999999
-4.12,0.34,-28.339999999999996
12.79,0.08,-77.80999999999999
-4.42,-3.27,14.200000000000001
3.24,28.27,-67.24
-1.1,-8.44,-61.379999999999995
0.09,-11.73,78.27000000000001
-1.68,-7.96,5.7
-1.74,-7.1,20.11
4.61,0.11,43.43
-11.76,14.31,-80.27000000000001
10.1,16.88,71.68
9.2,2.37,42.86
-1.95,-24.98,23.35
8.05,3.84,73.22
-7.01,-13.11,-129.29
-5.37,-5.01,203.31
1.56,-11.5,12.67
-1.9,4.26,-58.58
-4.49,-6.27,57.14
-6.72,7.72,-37.25
-5.57,4.77,65.65
9.39,-2.4,81.46
-19.43,0.81,-35.269999999999996
3.52,9.17,123.28
-2.36,-3.72,59.13
7.28,9.16,79.81
5.15,-0.19,76.99
-27.83,2.69,121.50999999999999
5.85,7.99,141.76999999999998
3.24,13.32,128.92000000000002
0.22,5.21,93.94
-4.69,0.58,-5.88
8.53,7.21,71.59
-4.13,-15.45,-5.95
18.35,16.39,-67.86000000000001
5.64,-13.25,27.799999999999997
21.38,9.04,-35.36
-7.86,-5.64,143.03
-17.56,5.07,69.61
7.15,-1.17,45.3
8.53,3.04,106.53
0.35,-8.01,8.190000000000001
-15.39,-21.61,23.25
-4.48,4.07,151.72
6.18,-6.01,-72.88
-1.84,-6.49,-24.009999999999998
-1.16,-7.25,33.209999999999994
-1.75,19.84,134.37
-9.34,-5.82,73.5
-5.33,3.27,-34.0
-14.27,-11.6,-20.909999999999997
17.68,15.23,183.11
-4.75,-5.56,74.49
4.78,-26.01,-30.270000000000003
-10.22,27.12,48.6
7.95,-10.98,330.29
-18.73,13.09,189.04
9.21,7.33,-82.8
-0.35,6.52,20.17
21.11,-2.31,84.41
-13.07,1.89,42.92
0.76,12.24,152.6
3.67,-3.01,184.45999999999998
12.33,2.51,40.78
-4.23,9.28,87.09
0.86,0.83,36.48
-21.42,-4.25,137.79000000000002
-8.3,14.52,192.81
4.52,3.42,123.65
11.04,-1.25,-48.93
-2.82,-7.76,105.41
20.56,-10.06,-26.919999999999998
17.6,8.94,181.21
-0.61,9.49,98.19999999999999
-24.14,-21.71,137.08
-17.78,-6.15,59.95
-7.78,9.65,64.84
11.16,24.24,97.53999999999999
3.1,21.5,65.94
-20.94,9.42,206.67000000000002
-2.29,13.73,-25.360000000000003
16.13,-5.27,83.43
-3.75,7.75,14.57
-7.5,-12.37,114.00999999999999
20.55,-5.62,-119.94
0.53,3.21,155.57
-4.79,21.68,51.72
3.5,7.48,-44.709999999999994
0.17,2.74,109.9
-4.29,-1.7,37.25
12.08,-13.22,46.870000000000005
11.16,6.03,143.1
8.41,-3.49,-49.199999999999996
-1.03,2.39,-5.49
11.47,-8.89,36.07
-0.5,1.21,97.11
4.67,-15.37,-26.33
10.34,5.04,-18.75
8.09,13.2,116.82
17.9,9.14,119.93
4.51,21.14,178.41
-16.84,3.25,46.480000000000004
-11.6,5.05,-139.93
13.5,5.15,83.52000000000001
-3.31,-8.8,105.30000000000001
3.87,21.53,-49.69
-8.51,9.89,75.63
10.01,-2.43,59.58
-3.85,-9.03,72.05000000000001
14.58,5.82,4.0600000000000005
-5.32,8.58,70.57000000000001
11.18,1.38,88.23
6.74,1.86,-96.97
-7.22,-1.88,128.23
10.99,-0.03,9.71
-9.02,13.35,133.53
-8.22,14.01,16.02
7.22,-15.0,-109.16
-6.25,1.39,152.13
-5.94,-12.04,175.19
-3.44,-13.36,-108.76
-10.0,5.86,-37.52
10.45,-8.42,38.660000000000004
6.09,-31.53,-71.57000000000001
-0.69,6.45,117.96
-1.08,12.82,0.13000000000000078
4.5,20.39,24.48
17.65,-3.96,45.3
8.71,14.45,-118.52000000000001
-5.08,-26.21,3.2799999999999976
7.77,-10.43,192.97
-1.19,5.19,103.33
-1.99,4.72,-23.22
18.66,13.2,128.22
-4.19,9.57,228.81
-4.79,-0.82,155.94
-19.52,15.29,38.04
-14.02,6.86,18.27
4.51,17.17,33.02
-6.95,-8.04,-35.01
5.15,3.0,50.190000000000005
-11.15,-4.3,-23.61
-7.67,8.06,-4.289999999999999
6.75,-2.2,66.72
14.61,-2.52,-12.219999999999999
5.92,-13.26,14.469999999999999
11.98,3.08,212.95
17.05,11.15,73.55999999999999
10.4,10.08,144.91
-9.18,-30.16,64.05
-1.05,-16.2,83.09
6.3,20.05,-44.18
-4.15,-1.88,8.510000000000002
4.52,-1.49,23.009999999999998
-15.79,11.65,41.709999999999994
-8.29,1.97,44.03
5.29,-6.33,51.17
-22.37,-2.1,52.459999999999994
-11.08,18.97,135.22
-0.18,-13.81,16.549999999999997
-17.19,13.01,166.92000000000002
0.57,-3.12,45.260000000000005
-8.0,-2.71,7.720000000000001
-2.92,18.63,-28.560000000000002
-2.59,-6.43,-15.39
1.89,8.35,36.12
-5.64,-3.63,148.17
0.9,-14.32,-66.97
-6.01,-1.66,137.56
5.56,11.69,48.79
16.94,-1.86,-35.32
1.97,5.49,-52.01
1.7,1.89,94.11
-11.64,0.47,-90.39
6.93,-4.17,1.9800000000000004
-7.58,1.32,23.67
-8.09,-20.33,24.710000000000004
5.57,-4.48,86.44
1.81,-18.04,-19.02
11.07,2.7,51.260000000000005
14.43,3.55,-58.31
-5.4,-7.96,52.059999999999995
1.28,8.01,105.4
17.6,3.96,8.219999999999999
9.67,2.94,72.75999999999999
7.13,-3.61,47.629999999999995
13.06,4.73,14.13
-6.05,10.54,61.72
6.37,-6.6,21.43
14.09,-8.17,-130.2
16.21,11.89,-74.25
-8.06,-23.18,69.50999999999999
-2.52,-26.17,-140.72
3.83,-18.15,120.69
-2.89,1.82,-58.089999999999996
-3.92,1.52,57.879999999999995
6.84,4.97,85.89999999999999
-3.53,0.76,3.35
-17.88,15.37,176.26
3.62,15.76,-47.53
-4.24,11.59,138.37
-7.32,-11.56,57.64
-15.66,3.64,57.209999999999994
10.14,-8.66,112.14
-22.27,-5.01,110.4
-16.99,-10.23,-39.6
-2.76,0.11,165.81
12.29,5.44,123.47
13.1,0.79,45.989999999999995
-11.55,-11.93,61.599999999999994
-1.78,-15.26,143.42000000000002
-15.1,-7.62,190.13
10.11,-7.78,81.12
-14.77,7.84,-20.4
-1.43,-3.19,57.86
10.33,-1.89,103.38
-2.22,-1.57,-16.110000000000003
14.7,10.97,-50.199999999999996
-8.7,16.36,75.52
3.69,4.27,59.57
8.53,-2.48,69.22
-1.4,14.03,163.85
13.86,4.38,-134.07
5.48,-4.21,48.3
-16.37,10.11,60.03
39.59,2.07,13.739999999999995
6.49,-14.34,42.56
1.07,6.27,137.26
-13.99,3.0,111.69999999999999
0.82,-18.57,26.950000000000003
-4.6,-21.51,40.22
6.44,1.36,53.35
3.72,6.83,42.47
18.53,6.09,143.32
1.42,-13.61,-118.01
5.14,-3.47,-70.72999999999999
3.72,6.67,180.76
-1.48,-15.36,82.01
-1.83,0.85,103.13000000000001
11.01,2.13,133.77
7.8,9.24,-110.03
-6.29,-24.54,146.88
-11.13,1.45,-30.740000000000002
-0.67,20.18,-7.77
11.61,-6.21,115.08000000000001
-0.28,-3.16,-45.34
17.46,9.54,84.55
-7.75,-7.63,164.31
1.42,11.57,8.18
-25.16,5.41,33.44
-5.96,-15.74,93.98
-3.09,1.01,125.80999999999999
5.11,-14.59,57.64
17.11,9.53,-84.09
0.35,-16.81,161.66
14.54,-18.12,67.14
6.62,-11.37,-156.54000000000002
9.86,-8.03,-39.870000000000005
-4.66,13.15,-16.989999999999995
13.85,-0.18,-26.25
-10.73,2.91,84.12
4.95,10.75,-1.42
-9.52,-6.98,150.54
-5.18,-5.78,138.1
-14.61,-8.47,62.08
-5.16,7.85,-21.25
3.51,16.33,62.77
-0.69,2.59,85.82000000000001
-13.48,-6.23,150.25
14.71,-5.2,-7.050000000000001
3.37,-11.12,41.89
10.08,7.31,-32.51
7.85,-10.63,-5.360000000000001
-6.65,-2.55,147.57
-19.45,-11.69,185.45999999999998
-9.15,-18.99,12.56
12.25,-25.4,-8.779999999999998
-10.54,-8.9,-9.21
8.16,2.18,-78.35000000000001
-6.12,-3.18,82.75999999999999
3.93,-2.24,81.64999999999999
-18.24,-10.71,105.89
11.67,-9.32,31.1
-0.4,-10.68,82.06
8.86,2.11,56.48
1.9,20.48,168.14000000000001
7.98,-1.36,70.63
-1.02,-13.69,153.44000000000003
7.43,12.73,141.09
-15.1,-9.99,83.83
-10.81,5.58,-32.99
7.25,-4.43,79.69999999999999
-0.39,0.81,76.86
-2.29,34.33,240.11
-1.8,-7.48,103.71
5.02,-5.87,-51.39
-5.93,3.75,-3.75
5.1,-0.22,121.79
-9.16,-4.06,39.65
-4.07,-6.88,-49.04
9.85,5.9,85.31
10.71,10.77,89.55
-10.97,-9.52,41.970000000000006
8.39,-11.36,99.18
-10.39,18.3,70.35
7.33,-14.25,177.61
-18.99,7.15,-11.659999999999997
-11.17,4.39,138.19
-5.09,-11.03,123.34
-1.66,7.59,160.6
14.24,-11.03,14.709999999999997
9.04,-10.9,-2.979999999999997
15.75,-13.9,159.6
12.07,8.34,90.0
-2.83,-4.49,1.5299999999999998
-2.66,10.85,130.1
10.69,-8.1,158.18
0.4,6.15,109.06
-1.57,14.07,7.5600000000000005
-13.35,-0.86,140.84
-1.06,-11.25,-83.19
-27.91,-3.43,136.63
-4.56,12.57,145.4
-9.8,7.39,49.43000000000001
6.93,-3.86,61.38
-4.79,-17.44,49.370000000000005
-3.29,7.16,17.59
13.47,16.31,-15.770000000000001
-10.49,16.49,54.69
3.17,4.33,1.4000000000000001
-18.95,-1.91,188.15
0.9,-7.86,-67.18
4.1,-5.73,184.10999999999999
8.6,-16.5,6.07
-8.99,21.35,18.660000000000004
3.2,-0.27,2.9899999999999998
3.18,23.84,-12.620000000000001
-0.19,-0.74,-113.11999999999999
1.5,-16.18,97.6
4.64,18.62,51.69
3.98,-8.6,-29.659999999999997
-9.96,-4.38,-48.89
-11.96,16.49,33.42
25.06,14.59,-60.589999999999996
19.2,-20.26,114.42999999999998
-13.92,0.01,-87.77000000000001
4.5,-10.9,-42.06
6.27,5.39,-21.52
7.51,18.12,98.62
1.4,-5.17,63.73
-9.27,14.93,62.620000000000005
-1.82,-9.29,28.75
-4.91,21.72,108.47999999999999
1.34,-8.26,-23.240000000000002
-2.68,-4.63,86.74
-1.32,2.97,-51.53
10.19,-14.01,69.02
12.31,15.5,12.61
-11.81,-10.7,141.38000000000002
-4.6,6.14,-37.129999999999995
-7.91,-12.89,8.74
12.24,1.1,-26.810000000000002
-0.59,-0.11,125.7
14.49,-3.88,-81.27
-4.78,4.89,130.4
0.26,-11.17,75.63
-13.49,15.22,123.99000000000001
13.03,2.02,-16.06
-3.63,-27.91,63.75
-14.85,20.06,224.97
-5.92,4.53,5.1499999999999995
-23.05,15.54,108.85000000000001
-0.32,-1.77,27.5
1.12,-22.63,-61.78
2.88,-4.2,-23.07
14.98,-12.26,64.75
-3.01,-0.38,49.0
8.07,-4.83,-159.13
3.12,2.09,91.55
-1.93,-17.64,8.879999999999999
-20.77,0.54,144.73
9.48,-4.6,-15.57
-5.04,6.34,245.93
0.18,-16.92,-43.0
-12.7,-4.25,119.75
2.83,16.58,-22.29
1.08,-11.81,52.709999999999994
0.29,7.38,-34.709999999999994
-1.35,13.31,165.04999999999998
10.49,-0.1,37.72
9.66,9.89,169.81
7.26,10.41,45.37
33.21,15.7,-97.46000000000001
-6.0,-3.68,-15.129999999999999
-3.8,-1.12,21.31
-10.15,8.04,178.71
4.36,-7.46,256.54
-6.87,0.48,48.22
-26.98,-6.99,95.43
-12.13,-23.29,138.85
0.72,3.35,-38.669999999999995
10.1,17.02,31.67
-15.57,-3.72,115.41999999999999
-6.12,0.84,85.21
-1.39,-4.53,40.11
-7.29,-7.41,-28.310000000000002
5.31,1.36,54.39
0.04,10.73,117.72
3.21,22.16,11.48
-7.25,8.26,71.47
15.37,-9.61,192.20000000000002
-0.0,-14.27,73.92
12.94,13.07,97.58
-4.39,3.17,-25.34
5.9,-6.1,-6.07
-6.79,-10.56,20.830000000000002
-9.51,-8.08,-15.66
-7.04,12.33,-27.359999999999996
-0.46,-0.22,-75.02000000000001
-2.19,-14.0,21.559999999999995
15.39,8.73,109.97
-11.49,3.1,113.93
-10.9,-2.91,112.08999999999999
17.0,6.08,112.05
6.09,-8.28,-33.08
-18.81,9.64,23.79
4.97,-14.25,11.93
2.37,-9.03,-32.7
-21.44,-13.77,77.64
-3.7,-4.17,-3.5199999999999996
-0.17,-7.57,131.72
7.31,-3.63,-31.17
9.54,0.05,85.51
0.96,5.54,188.88000000000002
10.33,1.47,-56.08
-1.46,2.52,9.87
-8.57,16.04,13.16
-9.34,-2.66,-28.14
5.43,-14.58,50.85
-19.58,9.51,119.12
6.78,18.36,2.959999999999999
-11.07,1.87,21.94
-3.59,8.4,81.38
5.05,-6.56,63.510000000000005
12.18,1.86,-49.23
-19.41,6.37,259.90999999999997
-8.06,3.79,43.17
0.49,-5.4,51.16
-5.96,16.31,22.02
8.62,1.73,22.410000000000004
-20.86,9.3,7.82
3.62,4.06,180.7
4.26,8.74,-93.3
0.49,9.33,44.040000000000006
11.02,-2.16,89.71000000000001
-12.3,8.34,-57.14
11.09,21.6,97.39
-7.03,19.99,182.34
7.26,7.64,74.08999999999999
-3.24,16.87,70.11
8.14,-13.08,26.04
7.8,14.72,34.4
-14.64,0.75,111.8
-1.54,-17.87,-35.41
-0.92,1.65,78.72
-2.38,9.76,35.06
-7.56,-6.96,4.07
18.51,19.37,-41.65
2.09,13.49,115.36
15.55,-12.75,-25.55
-5.69,10.09,151.98
-10.62,1.12,59.5
1.32,-5.52,42.91
-5.63,-3.17,-35.37
23.9,-4.45,-58.36
2.45,-12.16,79.15
11.53,-4.48,26.29
-2.24,6.93,63.870000000000005
-3.26,14.26,119.6
-0.31,14.58,106.64
3.56,-5.73,12.24
8.5,-1.17,271.88
-1.22,-8.59,293.43
-6.81,10.3,102.34
-10.68,-16.48,-70.94
-0.77,-13.63,-34.35
5.73,-6.36,84.45
4.58,2.51,1.7999999999999998
-0.18,-3.21,40.43
-6.0,0.33,-103.41
1.47,0.48,83.9
5.72,2.33,143.29000000000002
-0.37,-10.34,-57.12
1.12,-3.39,18.009999999999998
-1.51,5.78,28.57
9.15,2.8,-155.14
-4.38,10.93,27.259999999999998
1.86,-7.46,-4.8500000000000005
3.94,9.06,-56.36
7.26,14.67,-12.55
14.96,-1.43,53.36
6.75,2.66,73.22
5.99,2.25,72.25
-14.7,5.36,23.979999999999997
6.06,3.88,-18.17
22.94,14.69,53.38
-8.3,5.13,31.98
-10.2,8.65,151.76
-2.15,3.32,148.60999999999999
10.21,-10.42,-8.440000000000003
5.25,4.33,-81.60000000000001
-4.77,-2.3,67.14
-0.36,-6.35,-9.5
10.37,-8.94,96.47
6.73,-0.7,98.58
24.29,-6.07,-64.41
10.06,20.4,144.20000000000002
3.54,15.97,173.81
6.15,-2.67,72.08000000000001
-3.49,7.09,109.39
-9.78,11.57,29.68
1.72,-1.73,-22.18
4.91,18.48,163.95999999999998
-13.95,9.22,92.46000000000001
-5.22,-1.02,46.870000000000005
-3.69,-17.99,30.190000000000005
2.66,-9.66,97.9
-2.6,3.19,38.54
4.45,-4.38,1.3000000000000007
0.98,-0.21,24.43
10.6,-7.87,18.53
-17.11,2.47,30.659999999999997
16.57,-4.58,35.910000000000004
14.18,-15.53,-19.04
0.5,-3.42,9.69
6.5,-5.72,196.7
6.07,-15.52,28.99
-7.37,14.23,208.23999999999998
1.65,-0.76,-32.79
7.78,-3.27,99.34
3.1,7.5,55.309999999999995
10.51,-0.83,173.94
0.95,7.67,19.509999999999998
0.81,-14.81,177.76999999999998
-7.68,-10.37,0.22000000000000064
-3.65,5.45,59.71
-4.6,14.92,-22.970000000000002
17.05,0.3,30.490000000000002
2.41,2.16,33.2
-9.99,-8.23,-36.99
3.99,-0.3,-101.97000000000001
-1.92,-7.09,116.53999999999999
-30.54,-1.6,118.55
4.8,7.22,-3.29
-15.53,-19.99,37.0
5.78,2.13,-11.67
-9.61,-8.05,40.510000000000005
-14.58,-6.47,78.11
4.94,11.38,84.69
-14.94,2.95,27.810000000000002
-4.47,9.34,47.03
2.04,-17.64,71.61000000000001
6.12,-4.1,-12.969999999999999
7.45,-4.54,-6.430000000000001
-0.36,-5.89,51.019999999999996
-8.32,4.4,102.3
19.24,8.96,5.800000000000001
-6.06,-11.07,108.71
18.04,-9.63,16.72
-4.53,-12.52,-11.809999999999999
11.61,11.48,57.42
10.7,-5.15,-82.39
-10.46,-1.01,-87.42
3.55,-3.32,70.25
7.55,-9.64,-109.3
7.01,3.73,-17.44
-1.99,3.83,135.70999999999998
3.02,9.41,82.93
-3.95,-2.25,-16.3
-11.72,-2.97,57.55
9.84,-5.86,-80.41
-5.6,14.88,-20.66
13.8,10.08,32.85
6.02,-0.4,90.58
-8.93,6.49,62.72
-1.61,-5.86,39.01
-2.86,20.54,21.369999999999997
-8.71,-5.92,58.75
5.01,-3.8,104.87
-4.79,-3.71,139.38000000000002
16.32,17.01,78.11
8.61,1.48,52.629999999999995
-8.8,10.84,98.05
-0.19,-1.1,91.12
-2.27,-12.13,1.5999999999999996
-15.65,7.75,43.87
9.31,-6.26,-18.65
9.5,-13.19,-22.99
9.26,-4.16,187.22
-4.57,6.32,123.69
10.69,17.64,2.170000000000001
-2.1,-13.87,41.620000000000005
9.35,-21.99,43.26
18.13,9.3,33.97
1.4,3.0,-25.5
-14.19,-5.63,174.28
-3.17,4.18,-37.72
6.41,7.29,120.35
12.2,19.12,61.24
-11.34,-1.3,-5.040000000000001
-1.91,12.8,51.79
2.33,-4.52,-104.89
4.35,-5.1,62.55
9.1,4.24,103.42
-9.48,-11.15,5.93
-4.23,-13.02,65.03999999999999
10.08,9.63,-150.35999999999999
3.92,-19.63,-16.059999999999995
4.48,1.13,-60.34
11.25,-3.25,109.52
1.04,-3.73,60.78
5.28,-13.32,27.619999999999997
-3.15,-20.36,17.65
-13.45,-6.61,37.41
-12.95,-11.65,114.1
0.74,-4.25,-38.330000000000005
